idea_id,project,file_path,file_name,ext,confidence,theme,intent,excerpt
IDEA-0001,RoadTrip,G:\repos\AI\RoadTrip\CLAUDE.md,CLAUDE.md,.md,0.7,agent-workflow,idea,### Git Push Workflow These commands are automatically loaded from `infra/RoadTrip_profile.ps1`:
IDEA-0002,RoadTrip,G:\repos\AI\RoadTrip\CLAUDE.md,CLAUDE.md,.md,0.7,agent-workflow,idea,#### `gpush [message]` **Full git push workflow in one command** - Stages all changes (`git add -A`) - Auto-generates descriptive commit message from staged changes - Commits the changes - Pushes to `origin/main`
IDEA-0003,RoadTrip,G:\repos\AI\RoadTrip\CLAUDE.md,CLAUDE.md,.md,0.75,evaluation-and-quality,idea,### Testing Commands - `test-fast` - Run tests excluding E2E tests - `test-e2e` - Run smoke tests - `test-build` - Build with summary output
IDEA-0004,RoadTrip,G:\repos\AI\RoadTrip\CLAUDE.md,CLAUDE.md,.md,0.7,agent-workflow,idea,### One-Command Workflow ```powershell # Make changes to files... # Then one command pushes everything: gpush
IDEA-0005,RoadTrip,G:\repos\AI\RoadTrip\CLAUDE.md,CLAUDE.md,.md,0.75,general,idea,**Within a conversation**: Make iterative changes and build on progress naturally. Use sessions for cohesive work on a single feature.
IDEA-0006,RoadTrip,G:\repos\AI\RoadTrip\CLAUDE.md,CLAUDE.md,.md,0.9,architecture-and-spec,idea,"1. **Create a detailed plan** with requirements, architecture, and steps 2. **Validate the plan** separately (don't skip this) - Ask: ""Verify this plan covers all requirements from the original request"" - Identify gaps, partial implementations, and missing features - Score coverage and list top gaps by impact 3. **Review the validation report** for any surprises 4. **Replan if needed** based on gaps identified 5. **Proceed with implementation** only after plan is verified"
IDEA-0007,RoadTrip,G:\repos\AI\RoadTrip\CODEBASE_MAP.md,CODEBASE_MAP.md,.md,0.7,agent-workflow,idea,#### Entry Points | File | Command | Purpose | |------|---------|---------| | [src/orchestrator.py](src/orchestrator.py) | `py src/orchestrator.py` | Main workflow execution engine - chains skills together | | [src/publish_blog.py](src/publish_blog.py) | `py src/publish_blog.py` | Interactive blog publishing | | [src/orchestrate_blog_publish.py](src/orchestrate_blog_publish.py) | `py src/orchestrate_blog_publish.py` | Orchestrated blog publishing workflow | | [scripts/commit_and_push_updates.py](scripts/commit_and_push_updates.py) | `py scripts/commit_and_push_updates.py` | Auto-commit and push using skills | | [scripts/git_push.ps1](scripts/git_push.ps1) | `pwsh scripts/git_push.ps1` or `gpush` | PowerShell git push automation | | [src/blog_publisher_cli.py](src/blog_publisher_cli.py) | `py src/blog_publisher_cli.py` | CLI interface for blog publishing | | [src/view_registry.py](src/view_registry.py) | `py src/view_registry.py` | Browse registered skills | | [src/list_skills.py](src/list_skills.py) | `py src/list_skills.py` | Quick skill enumeration |
IDEA-0007,ControlPlane,G:\repos\AI\ControlPlane\CODEBASE_MAP.md,CODEBASE_MAP.md,.md,0.7,agent-workflow,idea,#### Entry Points | File | Command | Purpose | |------|---------|---------| | [src/orchestrator.py](src/orchestrator.py) | `py src/orchestrator.py` | Main workflow execution engine - chains skills together | | [src/publish_blog.py](src/publish_blog.py) | `py src/publish_blog.py` | Interactive blog publishing | | [src/orchestrate_blog_publish.py](src/orchestrate_blog_publish.py) | `py src/orchestrate_blog_publish.py` | Orchestrated blog publishing workflow | | [scripts/commit_and_push_updates.py](scripts/commit_and_push_updates.py) | `py scripts/commit_and_push_updates.py` | Auto-commit and push using skills | | [scripts/git_push.ps1](scripts/git_push.ps1) | `pwsh scripts/git_push.ps1` or `gpush` | PowerShell git push automation | | [src/blog_publisher_cli.py](src/blog_publisher_cli.py) | `py src/blog_publisher_cli.py` | CLI interface for blog publishing | | [src/view_registry.py](src/view_registry.py) | `py src/view_registry.py` | Browse registered skills | | [src/list_skills.py](src/list_skills.py) | `py src/list_skills.py` | Quick skill enumeration |
IDEA-0008,RoadTrip,G:\repos\AI\RoadTrip\CODEBASE_MAP.md,CODEBASE_MAP.md,.md,0.55,general,idea,"**What**: Create agents, workflows, skills, and modules **Who**: You (as framework developer) **How**: Code editing, testing, registry management"
IDEA-0008,ControlPlane,G:\repos\AI\ControlPlane\CODEBASE_MAP.md,CODEBASE_MAP.md,.md,0.55,general,idea,"**What**: Create agents, workflows, skills, and modules **Who**: You (as framework developer) **How**: Code editing, testing, registry management"
